Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Day Type Index [](Hourly),ZN1:Zone Mean Radiant Temperature [C](Hourly),ZN1:Zone Mean Air Temperature [C](Hourly),ZN1:Zone Operative Temperature [C](Hourly),ZN1_PAR1_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1_PAR4_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1:AFN Zone Infiltration Volume [m3](Hourly),ZN1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ZN1:Zone Air System Sensible Heating Energy [J](Hourly),ZN1:Zone Air System Sensible Cooling Energy [J](Hourly),ZN1:Zone Thermostat Air Temperature [C](Hourly),ZN1:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),ZN1_HVAC:Availability Manager Hybrid Ventilation Control Status [](Hourly),ZN1_HVAC:Availability Manager Hybrid Ventilation Control Mode [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),Electricity:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 07/21  01:00:00,8.8,2.3,160.0,10.0,14.001381282532856,13.591564648975562,13.796472965754209,0.0,0.0,21.26712572630273,0.19691783079909937,0.0,0.0,13.591564648975562,2932.430832971994,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  02:00:00,8.8,2.3,160.0,10.0,13.794276935520202,13.395351742242435,13.594814338881319,0.0,0.0,21.33277522386718,0.1975256965172887,0.0,0.0,13.395351742242435,3012.516318743143,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  03:00:00,8.8,2.3,160.0,10.0,13.593126728923706,13.204811135128326,13.398968932026016,0.0,0.0,21.38587248609715,0.19801733783423293,0.0,0.0,13.204811135128326,3089.4558212315924,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  04:00:00,8.8,2.3,160.0,10.0,13.397750112592736,13.019772950534052,13.208761531563394,0.0,0.0,21.429253765712006,0.19841901634918525,0.0,0.0,13.019772950534052,3163.3646199558407,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  05:00:00,8.8,2.3,160.0,10.0,13.207971907537404,12.840073677356998,13.024022792447202,0.0,0.0,21.46495761205681,0.19874960751904459,0.0,0.0,12.840073677356998,3234.351562929283,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  06:00:00,8.8,2.3,160.0,10.0,13.023657292696873,12.665652160554336,12.844654726625605,0.0,0.0,21.49448968414719,0.19902305263099252,0.0,0.0,12.665652160554336,3302.415723957396,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  07:00:00,8.8,2.3,160.0,10.0,12.844654932727332,12.496386403015313,12.670520667871323,0.0,0.0,21.518977140414934,0.19924978833717534,0.0,0.0,12.496386403015313,3367.630721254786,0.0,0.0,-1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/21  08:00:00,8.8,2.3,160.0,10.0,13.811631744325272,18.675001424383738,16.243316584354504,0.0,0.0,22.515405285969434,0.20847597487008738,3876062.460300212,0.0,18.67500142438374,4298.968370884632,2.0,1.0,-1.0,8.8,535.5802085480758,8654058.5107222,1963.9904970593175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.5802085480758 
 07/21  09:00:00,8.8,2.3,160.0,10.0,14.633585911391794,19.982902081734193,17.308243996562994,0.0,0.0,23.21725886735396,0.21497461914216638,3436248.3283248224,0.0,19.982902081734193,964.2045804374502,2.0,1.0,-1.0,8.8,482.2068754662658,7791636.897618869,1768.268703579999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.2068754662658 
 07/21  10:00:00,8.8,2.3,160.0,10.0,14.949192769473079,19.99985710890871,17.474524939190894,0.0,0.0,23.253287010363559,0.21530821305892187,2964328.336264847,0.0,19.99985710890871,823.5045682788873,2.0,1.0,-1.0,8.8,442.4476420802016,7149195.809294798,1622.4702679875381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.4476420802016 
