Time,ZN1_HVAC:DesPer 1:Des Heat Mass Flow [kg/s],ZN1_HVAC:DesPer 1:Des Heat Cap [W],ZN1_HVAC:DesPer 1:Des Cool Mass Flow [kg/s],ZN1_HVAC:DesPer 1:Des Sens Cool Cap [W],ZN1_HVAC:DesPer 1:Des Tot Cool Cap [W],ZN1_HVAC:DesPer 2:Des Heat Mass Flow [kg/s],ZN1_HVAC:DesPer 2:Des Heat Cap [W],ZN1_HVAC:DesPer 2:Des Cool Mass Flow [kg/s],ZN1_HVAC:DesPer 2:Des Sens Cool Cap [W],ZN1_HVAC:DesPer 2:Des Tot Cool Cap [W],ZN1_HVAC:DesPer 3:Des Heat Mass Flow [kg/s],ZN1_HVAC:DesPer 3:Des Heat Cap [W],ZN1_HVAC:DesPer 3:Des Cool Mass Flow [kg/s],ZN1_HVAC:DesPer 3:Des Sens Cool Cap [W],ZN1_HVAC:DesPer 3:Des Tot Cool Cap [W]
00:15:00,3.321996E-02,1.321991E+03,2.848145E-02,0.000000E+00,0.000000E+00,2.848145E-02,7.421265E+02,4.595370E-02,4.812742E+02,8.519281E+02,2.848145E-02,8.537439E+02,2.848145E-02,1.765700E+02,7.859518E+02
00:30:00,3.332480E-02,1.325151E+03,2.848145E-02,0.000000E+00,0.000000E+00,2.848145E-02,7.456897E+02,4.358261E-02,4.515085E+02,8.155613E+02,2.848145E-02,8.573070E+02,2.848145E-02,1.730069E+02,7.729463E+02
00:45:00,3.342731E-02,1.328242E+03,2.848145E-02,0.000000E+00,0.000000E+00,2.848145E-02,7.492529E+02,4.128617E-02,4.225675E+02,7.798081E+02,2.848145E-02,8.608702E+02,2.848145E-02,1.694437E+02,7.600090E+02
01:00:00,3.352754E-02,1.331263E+03,2.848145E-02,0.000000E+00,0.000000E+00,2.848145E-02,7.528160E+02,3.906590E-02,3.944683E+02,7.446927E+02,2.848145E-02,8.644334E+02,2.848145E-02,1.658805E+02,7.471394E+02
01:15:00,3.362555E-02,1.334218E+03,2.848145E-02,0.000000E+00,0.000000E+00,2.848145E-02,7.551915E+02,3.694192E-02,3.686207E+02,7.117330E+02,2.848145E-02,8.668088E+02,2.848145E-02,1.635051E+02,7.385971E+02
01:30:00,3.372136E-02,1.337107E+03,2.848145E-02,0.000000E+00,0.000000E+00,2.848145E-02,7.575669E+02,3.491894E-02,3.438891E+02,6.797850E+02,2.848145E-02,8.691843E+02,2.848145E-02,1.611296E+02,7.300846E+02
01:45:00,3.381502E-02,1.339930E+03,2.848145E-02,0.000000E+00,0.000000E+00,2.848145E-02,7.599424E+02,3.300523E-02,3.203650E+02,6.489915E+02,2.848145E-02,8.715597E+02,2.848145E-02,1.587542E+02,7.216018E+02
02:00:00,3.390657E-02,1.342690E+03,2.848145E-02,0.000000E+00,0.000000E+00,2.848145E-02,7.623178E+02,3.119204E-02,2.979516E+02,6.192492E+02,2.848145E-02,8.739351E+02,2.848145E-02,1.563788E+02,7.131484E+02
02:15:00,3.399605E-02,1.345388E+03,2.848145E-02,0.000000E+00,0.000000E+00,2.848145E-02,7.640994E+02,2.944216E-02,2.768316E+02,5.906184E+02,2.848145E-02,8.757167E+02,2.848145E-02,1.545972E+02,7.068277E+02
02:30:00,3.408350E-02,1.348024E+03,2.848145E-02,0.000000E+00,0.000000E+00,2.848145E-02,7.658810E+02,2.848145E-02,2.644329E+02,5.738767E+02,2.848145E-02,8.774983E+02,2.848145E-02,1.528156E+02,7.005234E+02
