Time,ZN1:SAO PAULO AEROPORTO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN1:SAO PAULO AEROPORTO ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN1:SAO PAULO AEROPORTO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN1:SAO PAULO AEROPORTO ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.016297E+03,5.153433E+02,3.321996E-02,4.595370E-02
00:30:00,1.019505E+03,4.887543E+02,3.332480E-02,4.358261E-02
00:45:00,1.022641E+03,4.630024E+02,3.342731E-02,4.128617E-02
01:00:00,1.025708E+03,4.381047E+02,3.352754E-02,3.906590E-02
01:15:00,1.028706E+03,4.142867E+02,3.362555E-02,3.694192E-02
01:30:00,1.031637E+03,3.916010E+02,3.372136E-02,3.491894E-02
01:45:00,1.034503E+03,3.701408E+02,3.381502E-02,3.300523E-02
02:00:00,1.037303E+03,3.498074E+02,3.390657E-02,3.119204E-02
02:15:00,1.040041E+03,3.301841E+02,3.399605E-02,2.944216E-02
02:30:00,1.042716E+03,3.111479E+02,3.408350E-02,2.774462E-02
02:45:00,1.045331E+03,2.925334E+02,3.416898E-02,2.608467E-02
03:00:00,1.047887E+03,2.743664E+02,3.425252E-02,2.446461E-02
03:15:00,1.050384E+03,2.565683E+02,3.433415E-02,2.287746E-02
03:30:00,1.052825E+03,2.391090E+02,3.441393E-02,2.132054E-02
03:45:00,1.055210E+03,2.219739E+02,3.449190E-02,1.979254E-02
04:00:00,1.057541E+03,2.051522E+02,3.456808E-02,1.829249E-02
04:15:00,1.059818E+03,1.888525E+02,3.464252E-02,1.683901E-02
04:30:00,1.062044E+03,1.731083E+02,3.471527E-02,1.543507E-02
04:45:00,1.064218E+03,1.579384E+02,3.478634E-02,1.408235E-02
05:00:00,1.066343E+03,1.433519E+02,3.485579E-02,1.278168E-02
05:15:00,1.068419E+03,1.300034E+02,3.492364E-02,1.159141E-02
