Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Day Type Index [](Hourly),ZN1:Zone Mean Radiant Temperature [C](Hourly),ZN1:Zone Mean Air Temperature [C](Hourly),ZN1:Zone Operative Temperature [C](Hourly),ZN1_PAR1_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1_PAR4_JAN:AFN Surface Venting Window or Door Opening Factor [](Hourly),ZN1:AFN Zone Infiltration Volume [m3](Hourly),ZN1:AFN Zone Infiltration Air Change Rate [ach](Hourly),ZN1:Zone Thermostat Air Temperature [C](Hourly),ZN1:Availability Manager Hybrid Ventilation Control Status [](Hourly),ZN1:Availability Manager Hybrid Ventilation Control Mode [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),OCCUPANCY:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),ZN1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Rate [W](Hourly),ZN1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 01/01  01:00:00,22.3875,2.3375,144.875,1.0,29.566510641787674,28.94739624331575,29.256953442551713,0.0,0.0,36.682945636389657,0.339656904040645,28.94739624331575,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,22.549999999999998,1.525,151.0,1.0,29.428297434685218,29.02977630615937,29.22903687042229,0.0,0.0,16.84437135364879,0.155966401422674,29.02977630615937,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,22.2125,1.6625,144.375,1.0,29.151101975147925,28.720319876601935,28.93571092587493,0.0,0.0,20.79101860252206,0.19250943150483394,28.720319876601935,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,21.975,1.6375000000000002,149.625,1.0,28.868499822208976,28.45045645018947,28.659478136199224,0.0,0.0,18.455354330922753,0.170882910471507,28.45045645018947,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,21.775,1.475,149.875,1.0,28.60415810345372,28.20369208666695,28.403925095060339,0.0,0.0,16.685425126606078,0.15449467709820445,28.20369208666695,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,21.824999999999997,1.9000000000000002,137.375,1.0,28.493523029637893,27.991911779933216,28.24271740478555,0.0,0.0,28.59524030342711,0.2647707435502511,27.991911779933216,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,22.275,2.3249999999999999,129.125,1.0,28.90523946854079,28.282373243742979,28.593806356141884,0.0,0.0,41.60692829099425,0.38524933602772457,28.282373243742979,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,23.0625,2.025,118.0,1.0,30.01392518389338,29.28179592949526,29.647860556694327,0.0,0.0,38.41633519276398,0.35570680734040729,29.28179592949526,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,24.65,2.05,122.625,1.0,32.008345005451058,31.449864549606294,31.729104777528677,0.0,0.0,37.79135933996475,0.34991999388856245,31.449864549606294,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,26.3375,2.6374999999999999,115.875,1.0,33.73674105416636,33.37473772520357,33.555739389684969,0.0,0.0,55.25915375164236,0.5116588310337256,33.37473772520357,0.0,0.0,-1.0,13.653223087814395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
