Time,ZN1:SAO PAULO AEROPORTO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZN1:SAO PAULO AEROPORTO ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],ZN1:SAO PAULO AEROPORTO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZN1:SAO PAULO AEROPORTO ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.018948E+03,5.158877E+02,9.062767E-02,4.580904E-02
00:30:00,1.022148E+03,4.892921E+02,9.091232E-02,4.344738E-02
00:45:00,1.025277E+03,4.635332E+02,9.119060E-02,4.116002E-02
01:00:00,1.028336E+03,4.386283E+02,9.146265E-02,3.894850E-02
01:15:00,1.031326E+03,4.148027E+02,9.172864E-02,3.683283E-02
01:30:00,1.034250E+03,3.921095E+02,9.198866E-02,3.481771E-02
01:45:00,1.037107E+03,3.706402E+02,9.224281E-02,3.291128E-02
02:00:00,1.039900E+03,3.502985E+02,9.249123E-02,3.110498E-02
02:15:00,1.042630E+03,3.306675E+02,9.273404E-02,2.936180E-02
02:30:00,1.045298E+03,3.116229E+02,9.297135E-02,2.767067E-02
02:45:00,1.047906E+03,2.930014E+02,9.320328E-02,2.601712E-02
03:00:00,1.050454E+03,2.748261E+02,9.342994E-02,2.440317E-02
03:15:00,1.052944E+03,2.570188E+02,9.365146E-02,2.282191E-02
03:30:00,1.055378E+03,2.395500E+02,9.386793E-02,2.127071E-02
03:45:00,1.057757E+03,2.224046E+02,9.407947E-02,1.974824E-02
04:00:00,1.060081E+03,2.055721E+02,9.428618E-02,1.825355E-02
04:15:00,1.062352E+03,1.892609E+02,9.448817E-02,1.680517E-02
04:30:00,1.064571E+03,1.735049E+02,9.468555E-02,1.540608E-02
04:45:00,1.066739E+03,1.583227E+02,9.487840E-02,1.405796E-02
05:00:00,1.068858E+03,1.437236E+02,9.506683E-02,1.276162E-02
05:15:00,1.070928E+03,1.303619E+02,9.525094E-02,1.157516E-02
05:30:00,1.072950E+03,1.183751E+02,9.543082E-02,1.051078E-02
05:45:00,1.074926E+03,1.078321E+02,9.560657E-02,9.574621E-03
06:00:00,1.076856E+03,9.876868E+01,9.577827E-02,8.769834E-03
06:15:00,1.078742E+03,1.025510E+02,9.594602E-02,9.105646E-03
06:30:00,1.080585E+03,1.651366E+02,9.610990E-02,1.466284E-02
06:45:00,1.082385E+03,3.434583E+02,9.627000E-02,3.049843E-02
07:00:00,1.084134E+03,6.538569E+02,9.642558E-02,5.806696E-02
07:15:00,9.006146E+02,1.210281E+03,8.010291E-02,1.074902E-01
07:30:00,7.079175E+02,1.794379E+03,6.296436E-02,1.593737E-01
07:45:00,5.106666E+02,2.314742E+03,4.542092E-02,2.056029E-01
08:00:00,3.826899E+02,2.744002E+03,3.403973E-02,2.437463E-01
08:15:00,4.375343E+02,2.947666E+03,3.891978E-02,2.618540E-01
08:30:00,4.994735E+02,3.090292E+03,4.443008E-02,2.745429E-01
08:45:00,4.914563E+02,3.202330E+03,4.371691E-02,2.845043E-01
